area,feeder,PEANO
N1,NIA01,27708117
N1,NIA01,90309012
N1,NIA01,27703766
N1,NIA01,27708106
N1,NIA01,23068116
N1,NIA02,23074102
N1,NIA03,23070656
N1,NIA03,27883866
N1,NIA04,Z10126078
N1,NIA04,Z10126081
N1,NIA04,Z10126408
N1,NIA04,23074117
N1,NIA04,90309013
N1,NIA04,23074111
N1,NIA04,90309006
N1,NIA04,23070640
N1,NIA04,23075431
N1,NIA04,18285258
N1,NIA04,23074116
N1,NIA04,Z10126356
N1,NIA04,90309004
N1,NIA04,27708077
N1,NIA04,C127502
N1,NIA05,23074101
N1,NIA05,23070639
N1,NIA06,21346432
N1,NIA06,5900708523
N1,NIA06,25767046
N1,NIA06,20642297
N1,NIA06,30267330
N1,NIA06,19861496
N1,NIA06,20670964
N1,NIA06,19234099
N1,NIA06,5600219975
N1,NIA06,18774513
N1,NIA06,25229852
N1,NIA06,21346480
N1,NIA06,16638667
N1,NIA06,26862848
N1,NIA06,20991238
N1,NIA06,18588667
N1,NIA06,21095446
N1,NIA06,5800294974
N1,NIA06,21346591
N1,NIA06,5801101180
N1,NIA06,23436441
N1,NIA06,18654971
N1,NIA06,17852426
N1,NIA06,30262617
N1,NIA06,19202486
N1,NIA06,24037473
N1,NIA06,6001460686
N1,NIA06,20642296
N1,NIA06,20192709
N1,NIA06,20368820
N1,NIA06,21345780
N1,NIA06,14606359
N1,NIA06,20218925
N1,NIA06,5800262819
N1,NIA06,21796590
N1,NIA06,24749078
N1,NIA06,19321520
N1,NIA06,16971399
N1,NIA06,25757466
N1,NIA06,5801101187
N1,NIA06,29002960
N1,NIA06,29002946
N1,NIA06,29815574
N1,NIA06,20839813
N1,NIA06,18931161
N1,NIA06,29815585
N1,NIA06,5801101177
N1,NIA06,23436435
N1,NIA06,19321654
N1,NIA06,29812843
N1,NIA06,30267154
N1,NIA06,5800448753
N1,NIA06,29124576
N1,NIA06,28569867
N1,NIA06,26820040
N1,NIA06,22390507
N1,NIA06,29080027
N1,NIA06,21396561
N1,NIA06,18931305
N1,NIA06,18931126
N1,NIA06,5700508978
N1,NIA06,19321521
N1,NIA06,24178984
N1,NIA06,29809718
N1,NIA06,20573708
N1,NIA06,5801101200
N1,NIA06,15199867
